Product/Service Name,Sales Description,SKU,Type,Sales Price / Rate,Taxable,Income Account,Purchase Description,Purchase Cost,Expense Account
A0170-RD-LLC,"Lakeland Care: Medical (RD) - Waiting Time, Per 30 Min",2,Service,12.60,no,Transportation Income,,,
A0170-RI-LLC,"Lakeland Care: Non-Medical (RI) - Waiting Time, Per 30 Min",3,Service,12.60,no,Transportation Income,,,
T2007-RD-MCW,"My Choice Wisconsin: Medical (RD) - Waiting Time, Per 30 Min",4,Service,9.19,no,Transportation Income,,,
T2007-RI-MCW,"My Choice Wisconsin: Non-Medical (RI) - Waiting Time, Per 30 Min",5,Service,9.19,no,Transportation Income,,,
Billing Adjustments,Billing Adjustments,6,Service,,yes,Billing Adjustments,,,
S0215-PP,Private Pay: Per Loaded Mile,12,Service,2.40,no,Transportation Income,,,
S0215-U-PP,Private Pay: Per Unloaded Mile,13,Service,2.40,no,Transportation Income,,,
MISC,,14,Service,0,yes,Transportation Income,,,
S0215 U1 RD (Inactive),"Use S0215-RD-U7-MCW instead - MPL

Medical, mileage per passenger loaded mile",16,Service,1.60,yes,Transportation Income,,,
S0215-RD-U7TP-MCW,My Choice Wisconsin: Medical (RD) - Unloaded Mileage (U7TP) per Passenger,17,Service,1,no,Transportation Income,,,
S0215-RI-U7TP-MCW,My Choice Wisconsin: Non-Medical (RI) - Unloaded Mileage (U7TP) per Passenger,18,Service,1,no,Transportation Income,,,
S0215-RD-U7-MCW,My Choice Wisconsin: Medical (RD) - Loaded Mileage per Passenger,19,Service,1.60,no,Transportation Income,,,
S0215-RI-U7-MCW,My Choice Wisconsin: Non-Medical (RI) - Loaded Mileage per Passenger,20,Service,1.60,no,Transportation Income,,,
S0215 UA RI (Inactive),"USE S0215-RD-U7-MCW instead.  MPL

Nonemergency transportation, Wheelchair van, non-medical, Mileage, per passenger loaded mile",21,Service,1.60,yes,Transportation Income,,,
S0215-RI-CC,"Community Care: Non-Medical (RI) - Per Loaded Mile after 5 Miles, Loaded Mileage",22,Service,2,no,Transportation Income,,,
S0215RD (Inactivated),"Inactivated use S0215-RD-CC instead. MPL

EACH MILE PER TRIP OVER FIVE MILES",23,Service,2,yes,Transportation Income,,,
S0215-RD-CC,Community Care: Medical (RD) - LOADED MILEAGE (S0215) - EACH MILE PER TRIP OVER 5 MILES,24,Service,2,no,Transportation Income,,,
